SOURCE http://www.openprinting.org/foomatic-db/db/source/printer/
Filtered and aggregated by Raspebrry (Jan 2021)
This list contains the filename as stored on www.openprinting.org/foomatic-db/db/source/printer/
and the XML-tag <ieee1284></ieee1284> separated by '|'

Brother-DCP-7025.xml|MFG:Brother;MDL:Brother DCP-7025;
Brother-DCP-7030.xml|MFG:Brother;CMD:PJL,HBP;MDL:DCP-7030;CLS:PRINTER;
Brother-DCP-7045N.xml|MFG:Brother;MDL:Brother DCP-7045N;
Brother-DCP-7065DN.xml|MFG:Brother;CMD:PJL,HBP;MDL:DCP-7065DN;CLS:PRINTER;CID:Brother Laser Type1;
Brother-DCP-8020.xml|MFG:Brother;MDL:Brother DCP-8020;
Brother-DCP-8025D.xml|MFG:Brother;MDL:Brother DCP-8025D;
Brother-DCP-8040.xml|MFG:Brother;MDL:Brother DCP-8040;
Brother-DCP-8080DN.xml|MFG:Brother;MDL:Brother DCP-8080DN;
Brother-DCP-8085DN.xml|MFG:Brother;MDL:Brother DCP-8085DN;
Brother-DCP-9010CN.xml|MFG:Brother;MDL:Brother DCP-9010CN;
Brother-DCP-9040CN.xml|MFG:Brother;MDL:Brother DCP-9040CN;
Brother-DCP-9045CDN.xml|MFG:Brother;MDL:Brother DCP-9045CDN;
Brother-HL-1450.xml|MFG:Brother;MDL:Brother HL-1450 series;
Brother-HL-1470N.xml|MFG:Brother;MDL:Brother HL-1470N series;
Brother-HL-1650_70N.xml|MFG:Brother;MDL:Brother HL-1650_1670N series;
Brother-HL-1850_70N.xml|MFG:Brother;MDL:Brother HL-1850_1870N series;
Brother-HL-2030.xml|MFG:Brother;CMD:PJL,HBP;MDL:HL-2030 series;CLS:PRINTER;
Brother-HL-2035.xml|MFG:Brother;CMD:PJL,HBP;MDL:HL-2030 series;CLS:PRINTER;
Brother-HL-2460.xml|MFG:Brother;MDL:Brother HL-2460 series;
Brother-HL-2600CN.xml|MFG:Brother;MDL:Brother HL-2600CN series;
Brother-HL-2700CN.xml|MFG:Brother;MDL:Brother HL-2700CN series;
Brother-HL-3070CW.xml|MFG:Brother;MDL:Brother HL-3070CW;
Brother-HL-3260N.xml|MFG:Brother;MDL:Brother HL-3260N series;
Brother-HL-3450CN.xml|MFG:Brother;MDL:Brother HL-3450CN series;
Brother-HL-4050CDN.xml|MFG:Brother;MDL:Brother HL-4050CDN;
Brother-HL-4070CDW.xml|MFG:Brother;MDL:Brother HL-4070CDW;
Brother-HL-5040.xml|MFG:Brother;CMD:PJL,PCL,PCLXL;MDL:HL-5040 series;CLS:PRINTER;
Brother-HL-5050.xml|MFG:Brother;MDL:Brother HL-5050 series;
Brother-HL-5070N.xml|MFG:Brother;MDL:Brother HL-5070N series;
Brother-HL-5150D.xml|MFG:Brother;MDL:Brother HL-5150D series;
Brother-HL-5170DN.xml|MFG:Brother;MDL:Brother HL-5170DN series;
Brother-HL-5240.xml|MFG:Brother;MDL:Brother HL-5240 series;
Brother-HL-5250DN.xml|MFG:Brother;MDL:HL-5250DN series;CMD:PJL,PCL,PCLXL,POSTSCRIPT;
Brother-HL-5270DN.xml|MFG:Brother;MDL:Brother HL-5270DN series;
Brother-HL-5350DN.xml|MFG:Brother;MDL:Brother HL-5350DN series;
Brother-HL-5370DW.xml|MFG:Brother;MDL:Brother HL-5370DW series;
Brother-HL-5380DN.xml|MFG:Brother;MDL:Brother HL-5380DN series;
Brother-HL-6050.xml|MFG:Brother;MDL:Brother HL-6050 series;
Brother-HL-6050D_DN.xml|MFG:Brother;MDL:Brother HL-6050D_DN series;
Brother-HL-7050.xml|MFG:Brother;MDL:Brother HL-7050 series;
Brother-HL-8050N.xml|MFG:Brother;MDL:Brother HL-8050N series;
Brother-MFC-7225N.xml|MFG:Brother;MDL:Brother MFC-7225N;
Brother-MFC-7450.xml|MFG:Brother;MDL:Brother MFC-7450;
Brother-MFC-7820N.xml|MFG:Brother;MDL:Brother MFC-7820N;
Brother-MFC-7840N.xml|MFG:Brother;MDL:Brother MFC-7840N;
Brother-MFC-7840W.xml|MFG:Brother;MDL:Brother MFC-7840W;
Brother-MFC-8220.xml|MFG:Brother;MDL:Brother MFC-8220;
Brother-MFC-8370DN.xml|MFG:Brother;MDL:Brother MFC-8370DN;
Brother-MFC-8380DN.xml|MFG:Brother;MDL:Brother MFC-8380DN;
Brother-MFC-8420.xml|MFG:Brother;MDL:Brother MFC-8420;
Brother-MFC-8440.xml|MFG:Brother;MDL:Brother MFC-8440;
Brother-MFC-8480DN.xml|MFG:Brother;MDL:Brother MFC-8480DN;
Brother-MFC-8640D.xml|MFG:Brother;MDL:Brother MFC-8640D;
Brother-MFC-8670DN.xml|MFG:Brother;MDL:Brother MFC-8670DN series;
Brother-MFC-8680DN.xml|MFG:Brother;MDL:Brother MFC-8680DN;
Brother-MFC-8820D.xml|MFG:Brother;MDL:Brother MFC-8820D;
Brother-MFC-8840D.xml|MFG:Brother;MDL:Brother MFC-8840D;
Brother-MFC-8880DN.xml|MFG:Brother;MDL:Brother MFC-8880DN;
Brother-MFC-8890DW.xml|MFG:Brother;MDL:Brother MFC-8890DW;
Brother-MFC-9010CN.xml|MFG:Brother;MDL:Brother MFC-9010CN;
Brother-MFC-9120CN.xml|MFG:Brother;MDL:Brother MFC-9120CN;
Brother-MFC-9320CW.xml|MFG:Brother;MDL:Brother MFC-9320CW;
Brother-MFC-9420CN.xml|MFG:Brother;MDL:Brother MFC-9420CN series;
Brother-MFC-9440CN.xml|MFG:Brother;MDL:Brother MFC-9440CN;
Brother-MFC-9450CDN.xml|MFG:Brother;MDL:Brother MFC-9450CDN;
Brother-MFC9840CDW.xml|MFG:Brother;MDL:Brother MFC-9840CDW;
Brother-PT-1500PC.xml|MFG:Brother;CMD:PT-CBP;MDL:1500PC;CLS:PRINTER;
Brother-PT-18R.xml|MFG:Brother;CMD:PT-CBP;MDL:18R;CLS:PRINTER;
Brother-PT-1950.xml|MFG:Brother;CMD:PT-CBP;MDL:1950;CLS:PRINTER;
